college_code,college_name,avg_percentile,avg_rank,percentile_std,rank_std,data_points,stability_score,cluster
1002,"Government College of Engineering, Amravati",83.43847733975156,50800.301242236026,16.05423585749888,38366.124872488755,322,0.05863645890415502,4
1005,"Sant Gadge Baba Amravati University,Amravati",49.1383022,130458.625,28.62896614997274,49192.67853171852,8,0.03375075576172002,3
1012,"Government College of Engineering,Yavatmal",65.9100119485294,94939.04411764706,23.997056381249394,46516.38725381926,68,0.04000471034461932,0
1101,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",75.51547523409091,72015.11363636363,19.35959782621974,48147.59953359307,44,0.04911688376831138,0
1105,"Prof. Ram Meghe Institute of Technology & Research, Amravati",70.41837487027708,85673.72544080604,20.094504033174328,42852.052382135626,397,0.04740571280686891,5
1107,"P. R. Pote Patil College of Engineering & Management, Amravati",68.25783299899328,92199.12751677852,18.489513524128412,39937.69069906592,298,0.05130964396632988,5
1114,"Sipna Shikshan Prasarak Mandal College of Engineering & Technology, Amravati",67.67886400431372,94126.7843137255,17.861125716173266,37396.470514389606,255,0.053019104747417486,5
1116,"Shri Shivaji Education Society's College of Engineering and Technology, Akola",49.33969451666667,133277.02380952382,20.748351997723223,38148.12998868444,42,0.04598049544649118,6
1117,"Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad",42.189233115625,146159.125,21.389598140240693,37559.88840698494,32,0.0446635975213287,7
1119,ANURADHA COLLEGE OF ENGINEERING & TECHNOLOGY,44.47266214193548,140384.96774193548,24.340973149056673,42955.921646484596,31,0.03946178365439866,7
1120,"Jawaharlal Darda Institute of Engineering and Technology, Yavatmal",50.667319093902435,130827.96341463414,20.58802378039761,38421.454232233744,82,0.04632197973155938,6
1121,"Shri Hanuman Vyayam Prasarak Mandals College of Engineering & Technology, Amravati",58.59653778888888,114212.77777777778,20.726092367457834,39523.403470501675,36,0.04602760510665222,6
1123,"Dr.Rajendra Gode Institute of Technology & Research, Amravati",53.452896341818175,125564.5090909091,20.6282719844243,35849.784706659055,55,0.04623577883245387,6
1125,"Dwarka Bahu Uddeshiya Gramin Vikas Foundation, Rajarshi Shahu College of Engineering, Buldhana",45.0741511,142464.10344827586,18.56025198743349,32183.003831153794,29,0.051124085755257724,6
1126,"Takshashila Institute of Engineering & Technology, Darapur, Amravati",33.19285546764706,163173.9705882353,16.669407687893557,24745.640572891723,34,0.0565949927503888,1
1127,"Jagadambha Bahuuddeshiya Gramin Vikas Sanstha's Jagdambha College of Engineering and Technology, Yavatmal",43.836136186833855,145165.63636363635,17.37382024171155,30233.97840875084,319,0.05442526305606484,6
1128,"Prof Ram Meghe College of Engineering and Management, Badnera",67.3285614981132,94613.39622641509,18.547161970039916,39428.55638773444,53,0.0511583216802883,0
1130,"Vision Buldhana Educational & Welfare Society's Pankaj Laddhad Institute of Technology & Management Studies, Yelgaon",40.00054149166667,151473.66666666666,18.823637179407022,34417.771919152285,12,0.050444829621821834,6
1180,"Sanmati Engineering College, Sawargaon Barde, Washim",38.36092808571429,154520.0,17.61705915823771,30473.80359696942,7,0.053714176417467,1
1182,"Padmashri Dr. V.B. Kolte College of Engineering, Malkapur, Buldhana",37.155534427586204,152095.7931034483,25.898854812123666,43785.42405329762,29,0.03717630386068655,7
1265,"Mauli Group of Institutions, College of Engineering and Technology, Shegaon.",57.10866835121951,116099.0487804878,22.89928552104738,44458.494959878706,41,0.04184225503809853,3
1268,"Siddhivinayak Technical Campus, School of Engineering & Research Technology, Shirasgon, Nile",37.20021371538461,151365.23076923078,27.98026492975593,43381.009019219935,13,0.03450624079606791,7
1276,"Manav School of Engineering & Technology, Gut No. 1035 Nagpur Surat Highway, NH No. 6 Tal.Vyala, Balapur, Akola, 444302",21.7606761,180538.7142857143,10.965758064664548,14562.088422959645,7,0.08357180502863813,1
2008,"Government College of Engineering, Chhatrapati Sambhajinagar",85.78191338222997,43694.843205574914,15.499667678864393,39057.62978809825,287,0.060607281277608505,4
2015,"PURANMAL LAHOTI GOVERNMENT INSTITUTE OF ENGINEERING AND TECHNOLOGY, LATUR",64.61500911,94492.0,28.274410912467477,58091.47656566278,20,0.03415952597611851,3
