Sr. No.,Page,College Code,College Name,Course Code,Course Name,Status,Level,Stage,Caste/Category,Cut‑off Rank,Cut‑off Percentile
1,1,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,Government Autonomous,State Level,I,GOPENS,33717,88.6037289
2,1,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,Government Autonomous,State Level,I,GSCS,61041,78.5613347
3,1,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,Government Autonomous,State Level,I,GNT3S,67451,76.1358545
4,1,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,Government Autonomous,State Level,I,GSEBCS,83123,69.7604398
5,1,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,Government Autonomous,State Level,I,LSCS,50493,82.7086811
6,1,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,Government Autonomous,State Level,I,LVJS,52977,81.7098306
7,1,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,Government Autonomous,State Level,I,EWS,115797,53.7424491
8,1,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,Government Autonomous,State Level,I-NON PWD,PWDOPENS,33345,88.6997043
9,1,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,Government Autonomous,State Level,VII,ORPHAN,33876,88.5551879
10,1,01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,Government Autonomous,State Level,I,GSCS,11323,96.2437396
11,1,01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,Government Autonomous,State Level,I,GSEBCS,17059,94.3331807
12,1,01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,Government Autonomous,State Level,I,LOPENS,7985,97.3461799
13,1,01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,Government Autonomous,State Level,I,LSEBCS,21791,92.7108008
14,1,01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,Government Autonomous,State Level,I,TFWS,9964,96.7229568
15,1,01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,Government Autonomous,State Level,I,PWDROBC S,96341,63.2687832
16,1,01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,Government Autonomous,State Level,I,EWS,15308,94.8964961
17,1,01002,"Government College of Engineering, Amravati",0100224610,Information Technology,Government Autonomous,State Level,I,GOBCS,8917,97.0497898
18,1,01002,"Government College of Engineering, Amravati",0100224610,Information Technology,Government Autonomous,State Level,I,GSEBCS,24057,91.9492948
19,1,01002,"Government College of Engineering, Amravati",0100224610,Information Technology,Government Autonomous,State Level,I,LOPENS,11969,96.0392321
20,1,01002,"Government College of Engineering, Amravati",0100224610,Information Technology,Government Autonomous,State Level,I,LSEBCS,24708,91.7849899
21,1,01002,"Government College of Engineering, Amravati",0100224610,Information Technology,Government Autonomous,State Level,I,TFWS,13259,95.6320635
22,1,01002,"Government College of Engineering, Amravati",0100224610,Information Technology,Government Autonomous,State Level,I,EWS,19241,93.6359026
23,1,01002,"Government College of Engineering, Amravati",0100224610,Information Technology,Government Autonomous,State Level,VII,ORPHAN,11764,96.1353059
24,1,01002,"Government College of Engineering, Amravati",0100229310,Electrical Engineering,Government Autonomous,State Level,I,GOPENS,24135,91.9393058
25,1,01002,"Government College of Engineering, Amravati",0100229310,Electrical Engineering,Government Autonomous,State Level,I,GNT2S,50339,82.7086811
26,1,01002,"Government College of Engineering, Amravati",0100229310,Electrical Engineering,Government Autonomous,State Level,I,LNT1S,44865,84.5731157
27,1,01002,"Government College of Engineering, Amravati",0100229310,Electrical Engineering,Government Autonomous,State Level,I,TFWS,12755,95.7978793
28,1,01002,"Government College of Engineering, Amravati",0100229310,Electrical Engineering,Government Autonomous,State Level,I,EWS,75966,72.7750912
29,2,01002,"Government College of Engineering, Amravati",0100237210,Electronics and Telecommunication Engg,Government Autonomous,State Level,I,GOPENS,18608,93.8492553
30,2,01002,"Government College of Engineering, Amravati",0100237210,Electronics and Telecommunication Engg,Government Autonomous,State Level,I,GSTS,47245,83.7440631
31,2,01002,"Government College of Engineering, Amravati",0100237210,Electronics and Telecommunication Engg,Government Autonomous,State Level,I,GOBCS,19635,93.4557596
32,2,01002,"Government College of Engineering, Amravati",0100237210,Electronics and Telecommunication Engg,Government Autonomous,State Level,I,GSEBCS,30760,89.5917850
33,2,01002,"Government College of Engineering, Amravati",0100237210,Electronics and Telecommunication Engg,Government Autonomous,State Level,I,LOPENS,14790,95.0547190
34,2,01002,"Government College of Engineering, Amravati",0100237210,Electronics and Telecommunication Engg,Government Autonomous,State Level,I,LVJS,66354,76.5404634
35,2,01002,"Government College of Engineering, Amravati",0100237210,Electronics and Telecommunication Engg,Government Autonomous,State Level,I,LSEBCS,44066,84.8482325
36,2,01002,"Government College of Engineering, Amravati",0100237210,Electronics and Telecommunication Engg,Government Autonomous,State Level,I,TFWS,21632,92.7704421
37,2,01002,"Government College of Engineering, Amravati",0100237210,Electronics and Telecommunication Engg,Government Autonomous,State Level,I,EWS,28139,90.5124049
38,2,01002,"Government College of Engineering, Amravati",0100246610,Instrumentation Engineering,Government Autonomous,State Level,I,GOPENS,34174,88.5013511
39,2,01002,"Government College of Engineering, Amravati",0100246610,Instrumentation Engineering,Government Autonomous,State Level,I,LOBCS,32099,89.1945571
40,2,01002,"Government College of Engineering, Amravati",0100261210,Mechanical Engineering,Government Autonomous,State Level,I,GOPENS,31514,89.3223371
41,2,01002,"Government College of Engineering, Amravati",0100261210,Mechanical Engineering,Government Autonomous,State Level,I,GSCS,62783,77.8445199
42,2,01002,"Government College of Engineering, Amravati",0100261210,Mechanical Engineering,Government Autonomous,State Level,I,GVJS,67622,76.1268781
43,2,01002,"Government College of Engineering, Amravati",0100261210,Mechanical Engineering,Government Autonomous,State Level,I,LOPENS,38944,86.7801974
44,2,01002,"Government College of Engineering, Amravati",0100261210,Mechanical Engineering,Government Autonomous,State Level,I,LSCS,64534,77.2074577
45,2,01002,"Government College of Engineering, Amravati",0100261210,Mechanical Engineering,Government Autonomous,State Level,I,LOBCS,48807,83.1469549
46,2,01002,"Government College of Engineering, Amravati",0100261210,Mechanical Engineering,Government Autonomous,State Level,I,TFWS,52116,81.9341840
47,2,01002,"Government College of Engineering, Amravati",0100261210,Mechanical Engineering,Government Autonomous,State Level,I,EWS,101168,60.6237408
48,2,01002,"Government College of Engineering, Amravati",0100261210,Mechanical Engineering,Government Autonomous,State Level,II,LSTS,139021,38.8659877
49,3,01005,"Sant Gadge Baba Amravati University,Amravati",0100550310,Food Technology,University Department,Home University Seats Allotted to Home University Candidates,I,GOPENH,58918,80.9512783
50,3,01005,"Sant Gadge Baba Amravati University,Amravati",0100550310,Food Technology,University Department,Home University Seats Allotted to Home University Candidates,I,GSCH,101902,63.2687832
51,3,01005,"Sant Gadge Baba Amravati University,Amravati",0100550310,Food Technology,University Department,Home University Seats Allotted to Home University Candidates,I,GOBCH,78502,73.6262684
52,3,01005,"Sant Gadge Baba Amravati University,Amravati",0100550310,Food Technology,University Department,Home University Seats Allotted to Home University Candidates,I,LOBCH,60193,80.5269954
53,3,01005,"Sant Gadge Baba Amravati University,Amravati",0100550310,Food Technology,University Department,Home University Seats Allotted to Home University Candidates,I-NON PWD,PWDOPENH,68640,77.5670525
54,3,01005,"Sant Gadge Baba Amravati University,Amravati",0100550310,Food Technology,University Department,Home University Seats Allotted to Home University Candidates,VII,LSEBCH,87385,70.1991193
55,3,01005,"Sant Gadge Baba Amravati University,Amravati",0100550310,Food Technology,University Department,Home University Seats Allotted to Other Than Home University Candidates,I,GSTH,87376,70.2091815
56,3,01005,"Sant Gadge Baba Amravati University,Amravati",0100550310,Food Technology,University Department,Other Than Home University Seats Allotted to Other Than Home University Candidates,I,GSCO,38214,87.9872713
57,3,01005,"Sant Gadge Baba Amravati University,Amravati",0100550310,Food Technology,University Department,Other Than Home University Seats Allotted to Other Than Home University Candidates,I,LOPENO,19750,93.8820380
58,3,01005,"Sant Gadge Baba Amravati University,Amravati",0100550310,Food Technology,University Department,Home University Seats Allotted to Home University Candidates,I,GVJO,153310,32.0979389
59,3,01005,"Sant Gadge Baba Amravati University,Amravati",0100550310,Food Technology,University Department,State Level,I,EWS,115223,57.1959853
60,3,01005,"Sant Gadge Baba Amravati University,Amravati",0100550310,Food Technology,University Department,State Level,I-NON DEFENCE,DEFOPENS,20748,93.5806257
61,4,01005,"Sant Gadge Baba Amravati University,Amravati",0100551710,Oil and Paints Technology,University Department,Home University Seats Allotted to Home University Candidates,I,GOPENH,108245,57.2537563
62,4,01005,"Sant Gadge Baba Amravati University,Amravati",0100551710,Oil and Paints Technology,University Department,Home University Seats Allotted to Home University Candidates,I,GOBCH,149613,30.9541920
63,4,01005,"Sant Gadge Baba Amravati University,Amravati",0100551710,Oil and Paints Technology,University Department,Home University Seats Allotted to Home University Candidates,I,LOPENH,132176,43.5298862
64,4,01005,"Sant Gadge Baba Amravati University,Amravati",0100551710,Oil and Paints Technology,University Department,Home University Seats Allotted to Home University Candidates,I,LSCH,132982,42.8773305
65,4,01005,"Sant Gadge Baba Amravati University,Amravati",0100552410,Paper and Pulp Technology,University Department,Home University Seats Allotted to Home University Candidates,I,GOPENH,159191,22.5020163
66,4,01005,"Sant Gadge Baba Amravati University,Amravati",0100552410,Paper and Pulp Technology,University Department,Home University Seats Allotted to Other Than Home University Candidates,I,GOBCH,115971,53.7424491
67,4,01005,"Sant Gadge Baba Amravati University,Amravati",0100552410,Paper and Pulp Technology,University Department,Other Than Home University Seats Allotted to Other Than Home University Candidates,I,LOPENO,163269,19.1157452
68,5,01005,"Sant Gadge Baba Amravati University,Amravati",0100552710,Petro Chemical Engineering,University Department,Home University Seats Allotted to Home University Candidates,I,GOPENH,109950,56.9588351
69,5,01005,"Sant Gadge Baba Amravati University,Amravati",0100552710,Petro Chemical Engineering,University Department,Home University Seats Allotted to Home University Candidates,I,GOBCH,144222,34.8626522
70,5,01005,"Sant Gadge Baba Amravati University,Amravati",0100552710,Petro Chemical Engineering,University Department,Home University Seats Allotted to Home University Candidates,I-NON PWD,PWDOPENH,140651,37.6881791
71,5,01005,"Sant Gadge Baba Amravati University,Amravati",0100552710,Petro Chemical Engineering,University Department,Home University Seats Allotted to Home University Candidates,VII,GSTH,133801,42.2216419
72,5,01005,"Sant Gadge Baba Amravati University,Amravati",0100552710,Petro Chemical Engineering,University Department,Other Than Home University Seats Allotted to Other Than Home University Candidates,I,GOPENO,101298,60.6237408
73,5,01005,"Sant Gadge Baba Amravati University,Amravati",0100552710,Petro Chemical Engineering,University Department,Other Than Home University Seats Allotted to Other Than Home University Candidates,I,GOBCO,112108,55.2318816
74,5,01005,"Sant Gadge Baba Amravati University,Amravati",0100552710,Petro Chemical Engineering,University Department,State Level,I-NON DEFENCE,DEFOPENS,97098,63.0759599
75,6,01012,"Government College of Engineering,Yavatmal",0101219110,Civil Engineering,Government Home University : Sant Gadge Baba Amravati University,Home University Seats Allotted to Home University Candidates,I,GOPENH,110025,56.9588351
76,6,01012,"Government College of Engineering,Yavatmal",0101219110,Civil Engineering,Government Home University : Sant Gadge Baba Amravati University,Home University Seats Allotted to Home University Candidates,I,GSCH,125827,47.4576949
77,6,01012,"Government College of Engineering,Yavatmal",0101219110,Civil Engineering,Government Home University : Sant Gadge Baba Amravati University,Home University Seats Allotted to Home University Candidates,I,GOBCH,111930,55.2318816
78,6,01012,"Government College of Engineering,Yavatmal",0101219110,Civil Engineering,Government Home University : Sant Gadge Baba Amravati University,Home University Seats Allotted to Home University Candidates,I,LOPENH,76748,72.3242844
79,6,01012,"Government College of Engineering,Yavatmal",0101219110,Civil Engineering,Government Home University : Sant Gadge Baba Amravati University,Home University Seats Allotted to Home University Candidates,I,LNT1H,151306,29.3071786
80,6,01012,"Government College of Engineering,Yavatmal",0101219110,Civil Engineering,Government Home University : Sant Gadge Baba Amravati University,Home University Seats Allotted to Home University Candidates,I-NON PWD,PWDOPENH,105131,59.8892661
81,6,01012,"Government College of Engineering,Yavatmal",0101219110,Civil Engineering,Government Home University : Sant Gadge Baba Amravati University,Home University Seats Allotted to Home University Candidates,VII,GSEBCH,112880,55.0733859
82,6,01012,"Government College of Engineering,Yavatmal",0101219110,Civil Engineering,Government Home University : Sant Gadge Baba Amravati University,Home University Seats Allotted to Home University Candidates,VII,LSEBCH,114474,54.0859766
83,6,01012,"Government College of Engineering,Yavatmal",0101219110,Civil Engineering,Government Home University : Sant Gadge Baba Amravati University,Other Than Home University Seats Allotted to Other Than Home University Candidates,I,GOPENO,79206,71.3988776
84,6,01012,"Government College of Engineering,Yavatmal",0101219110,Civil Engineering,Government Home University : Sant Gadge Baba Amravati University,Other Than Home University Seats Allotted to Other Than Home University Candidates,I,GSCO,92376,65.4406319
85,6,01012,"Government College of Engineering,Yavatmal",0101219110,Civil Engineering,Government Home University : Sant Gadge Baba Amravati University,Other Than Home University Seats Allotted to Other Than Home University Candidates,I,GNT2O,154314,27.4048925
86,6,01012,"Government College of Engineering,Yavatmal",0101219110,Civil Engineering,Government Home University : Sant Gadge Baba Amravati University,Other Than Home University Seats Allotted to Other Than Home University Candidates,I,GOBCO,88311,67.5033807
87,6,01012,"Government College of Engineering,Yavatmal",0101219110,Civil Engineering,Government Home University : Sant Gadge Baba Amravati University,Other Than Home University Seats Allotted to Other Than Home University Candidates,I,LOPENO,47551,83.6393990
88,6,01012,"Government College of Engineering,Yavatmal",0101219110,Civil Engineering,Government Home University : Sant Gadge Baba Amravati University,Other Than Home University Seats Allotted to Other Than Home University Candidates,VII,GSEBCO,99471,62.2534756
89,6,01012,"Government College of Engineering,Yavatmal",0101219110,Civil Engineering,Government Home University : Sant Gadge Baba Amravati University,State Level,I,EWS,176930,3.8939900
90,6,01012,"Government College of Engineering,Yavatmal",0101219110,Civil Engineering,Government Home University : Sant Gadge Baba Amravati University,State Level,I-NON DEFENCE,DEFOBCS,95351,63.5370419
91,6,01012,"Government College of Engineering,Yavatmal",0101219110,Civil Engineering,Government Home University : Sant Gadge Baba Amravati University,State Level,VII,ORPHAN,96430,63.2340107
92,7,01012,"Government College of Engineering,Yavatmal",0101224510,Computer Engineering,Government Home University : Sant Gadge Baba Amravati University,Home University Seats Allotted to Home University Candidates,I,GOPENH,46127,84.2156613
93,7,01012,"Government College of Engineering,Yavatmal",0101224510,Computer Engineering,Government Home University : Sant Gadge Baba Amravati University,Home University Seats Allotted to Home University Candidates,I,GSCH,72403,74.1162962
94,7,01012,"Government College of Engineering,Yavatmal",0101224510,Computer Engineering,Government Home University : Sant Gadge Baba Amravati University,Home University Seats Allotted to Home University Candidates,I,GSTH,127483,46.3657898
95,7,01012,"Government College of Engineering,Yavatmal",0101224510,Computer Engineering,Government Home University : Sant Gadge Baba Amravati University,Home University Seats Allotted to Home University Candidates,I,GOBCH,56190,80.5358903
96,7,01012,"Government College of Engineering,Yavatmal",0101224510,Computer Engineering,Government Home University : Sant Gadge Baba Amravati University,Home University Seats Allotted to Home University Candidates,I,LOPENH,41333,85.8772819
97,7,01012,"Government College of Engineering,Yavatmal",0101224510,Computer Engineering,Government Home University : Sant Gadge Baba Amravati University,Home University Seats Allotted to Home University Candidates,I,LSCH,61181,78.5613347
98,7,01012,"Government College of Engineering,Yavatmal",0101224510,Computer Engineering,Government Home University : Sant Gadge Baba Amravati University,Home University Seats Allotted to Home University Candidates,I,LNT3H,118461,52.0276576
99,7,01012,"Government College of Engineering,Yavatmal",0101224510,Computer Engineering,Government Home University : Sant Gadge Baba Amravati University,Home University Seats Allotted to Home University Candidates,I,LOBCH,44412,84.7973394
100,7,01012,"Government College of Engineering,Yavatmal",0101224510,Computer Engineering,Government Home University : Sant Gadge Baba Amravati University,Home University Seats Allotted to Other Than Home University Candidates,I,GSEBCH,63148,77.8250739
101,7,01012,"Government College of Engineering,Yavatmal",0101224510,Computer Engineering,Government Home University : Sant Gadge Baba Amravati University,Other Than Home University Seats Allotted to Other Than Home University Candidates,I,GOPENO,19120,93.6711065
102,7,01012,"Government College of Engineering,Yavatmal",0101224510,Computer Engineering,Government Home University : Sant Gadge Baba Amravati University,Other Than Home University Seats Allotted to Other Than Home University Candidates,I,GSCO,51812,82.1493863
103,7,01012,"Government College of Engineering,Yavatmal",0101224510,Computer Engineering,Government Home University : Sant Gadge Baba Amravati University,Other Than Home University Seats Allotted to Other Than Home University Candidates,I,GSTO,76610,72.5041736
104,7,01012,"Government College of Engineering,Yavatmal",0101224510,Computer Engineering,Government Home University : Sant Gadge Baba Amravati University,Other Than Home University Seats Allotted to Other Than Home University Candidates,I,GOBCO,30547,89.7106951
105,7,01012,"Government College of Engineering,Yavatmal",0101224510,Computer Engineering,Government Home University : Sant Gadge Baba Amravati University,Other Than Home University Seats Allotted to Other Than Home University Candidates,I,LOPENO,40981,86.0755637
106,7,01012,"Government College of Engineering,Yavatmal",0101224510,Computer Engineering,Government Home University : Sant Gadge Baba Amravati University,Other Than Home University Seats Allotted to Other Than Home University Candidates,I,LSCO,58912,79.4895283
107,7,01012,"Government College of Engineering,Yavatmal",0101224510,Computer Engineering,Government Home University : Sant Gadge Baba Amravati University,Other Than Home University Seats Allotted to Other Than Home University Candidates,I,LNT2O,73513,73.7743452
108,7,01012,"Government College of Engineering,Yavatmal",0101224510,Computer Engineering,Government Home University : Sant Gadge Baba Amravati University,State Level,I,EWS,69351,75.3410409
109,8,01012,"Government College of Engineering,Yavatmal",0101229310,Electrical Engineering,Government Home University : Sant Gadge Baba Amravati University,Home University Seats Allotted to Home University Candidates,I,GOPENH,82805,69.7639628
110,8,01012,"Government College of Engineering,Yavatmal",0101229310,Electrical Engineering,Government Home University : Sant Gadge Baba Amravati University,Home University Seats Allotted to Home University Candidates,I,GNT1H,120405,50.8618056
111,8,01012,"Government College of Engineering,Yavatmal",0101229310,Electrical Engineering,Government Home University : Sant Gadge Baba Amravati University,Home University Seats Allotted to Home University Candidates,I,GNT2H,107905,57.3310702
112,8,01012,"Government College of Engineering,Yavatmal",0101229310,Electrical Engineering,Government Home University : Sant Gadge Baba Amravati University,Home University Seats Allotted to Home University Candidates,I,GNT3H,163989,18.5574725
113,8,01012,"Government College of Engineering,Yavatmal",0101229310,Electrical Engineering,Government Home University : Sant Gadge Baba Amravati University,Home University Seats Allotted to Home University Candidates,I,GOBCH,90376,66.1855163
114,8,01012,"Government College of Engineering,Yavatmal",0101229310,Electrical Engineering,Government Home University : Sant Gadge Baba Amravati University,Home University Seats Allotted to Home University Candidates,I,LOPENH,98275,62.8351694
115,8,01012,"Government College of Engineering,Yavatmal",0101229310,Electrical Engineering,Government Home University : Sant Gadge Baba Amravati University,Home University Seats Allotted to Home University Candidates,I,LSCH,106381,58.1588042
116,8,01012,"Government College of Engineering,Yavatmal",0101229310,Electrical Engineering,Government Home University : Sant Gadge Baba Amravati University,Home University Seats Allotted to Home University Candidates,I,LOBCH,99417,62.7216425
117,8,01012,"Government College of Engineering,Yavatmal",0101229310,Electrical Engineering,Government Home University : Sant Gadge Baba Amravati University,Home University Seats Allotted to Home University Candidates,VII,LSEBCH,88948,67.0458361
118,8,01012,"Government College of Engineering,Yavatmal",0101229310,Electrical Engineering,Government Home University : Sant Gadge Baba Amravati University,Home University Seats Allotted to Other Than Home University Candidates,I,GSEBCH,139919,38.5392182
119,8,01012,"Government College of Engineering,Yavatmal",0101229310,Electrical Engineering,Government Home University : Sant Gadge Baba Amravati University,Other Than Home University Seats Allotted to Other Than Home University Candidates,I,GOPENO,61206,78.5613347
120,8,01012,"Government College of Engineering,Yavatmal",0101229310,Electrical Engineering,Government Home University : Sant Gadge Baba Amravati University,Other Than Home University Seats Allotted to Other Than Home University Candidates,I,GSCO,76494,72.5041736
121,8,01012,"Government College of Engineering,Yavatmal",0101229310,Electrical Engineering,Government Home University : Sant Gadge Baba Amravati University,Other Than Home University Seats Allotted to Other Than Home University Candidates,I,GVJO,92787,65.3627105
122,8,01012,"Government College of Engineering,Yavatmal",0101229310,Electrical Engineering,Government Home University : Sant Gadge Baba Amravati University,State Level,I,TFWS,72739,73.8893284
123,8,01012,"Government College of Engineering,Yavatmal",0101229310,Electrical Engineering,Government Home University : Sant Gadge Baba Amravati University,State Level,VII,ORPHAN,67358,76.1358545
124,9,01012,"Government College of Engineering,Yavatmal",0101237210,Electronics and Telecommunication Engg,Government Home University : Sant Gadge Baba Amravati University,Home University Seats Allotted to Home University Candidates,I,GOPENH,68681,75.6212581
125,9,01012,"Government College of Engineering,Yavatmal",0101237210,Electronics and Telecommunication Engg,Government Home University : Sant Gadge Baba Amravati University,Home University Seats Allotted to Home University Candidates,I,GNT1H,78959,71.4038201
126,9,01012,"Government College of Engineering,Yavatmal",0101237210,Electronics and Telecommunication Engg,Government Home University : Sant Gadge Baba Amravati University,Home University Seats Allotted to Home University Candidates,I,GOBCH,76611,72.5041736
127,9,01012,"Government College of Engineering,Yavatmal",0101237210,Electronics and Telecommunication Engg,Government Home University : Sant Gadge Baba Amravati University,Home University Seats Allotted to Home University Candidates,I,LOPENH,72666,73.8893284
128,9,01012,"Government College of Engineering,Yavatmal",0101237210,Electronics and Telecommunication Engg,Government Home University : Sant Gadge Baba Amravati University,Home University Seats Allotted to Home University Candidates,I,LOBCH,88512,67.5033807
129,9,01012,"Government College of Engineering,Yavatmal",0101237210,Electronics and Telecommunication Engg,Government Home University : Sant Gadge Baba Amravati University,Home University Seats Allotted to Home University Candidates,VII,GSTH,77203,72.1467831
130,9,01012,"Government College of Engineering,Yavatmal",0101237210,Electronics and Telecommunication Engg,Government Home University : Sant Gadge Baba Amravati University,Home University Seats Allotted to Other Than Home University Candidates,I,GSEBCH,74112,73.4468855
131,9,01012,"Government College of Engineering,Yavatmal",0101237210,Electronics and Telecommunication Engg,Government Home University : Sant Gadge Baba Amravati University,Home University Seats Allotted to Other Than Home University Candidates,II,LSEBCH,90190,66.1855163
132,9,01012,"Government College of Engineering,Yavatmal",0101237210,Electronics and Telecommunication Engg,Government Home University : Sant Gadge Baba Amravati University,Other Than Home University Seats Allotted to Other Than Home University Candidates,I,GOPENO,49988,82.7099252
133,9,01012,"Government College of Engineering,Yavatmal",0101237210,Electronics and Telecommunication Engg,Government Home University : Sant Gadge Baba Amravati University,Other Than Home University Seats Allotted to Other Than Home University Candidates,I,GSCO,64393,77.2074577
134,9,01012,"Government College of Engineering,Yavatmal",0101237210,Electronics and Telecommunication Engg,Government Home University : Sant Gadge Baba Amravati University,Other Than Home University Seats Allotted to Other Than Home University Candidates,I,GOBCO,58872,79.5235744
135,9,01012,"Government College of Engineering,Yavatmal",0101237210,Electronics and Telecommunication Engg,Government Home University : Sant Gadge Baba Amravati University,Other Than Home University Seats Allotted to Other Than Home University Candidates,I,LOPENO,45392,84.4941393
136,9,01012,"Government College of Engineering,Yavatmal",0101237210,Electronics and Telecommunication Engg,Government Home University : Sant Gadge Baba Amravati University,Other Than Home University Seats Allotted to Other Than Home University Candidates,I,LNT1O,155900,25.6482713
137,9,01012,"Government College of Engineering,Yavatmal",0101237210,Electronics and Telecommunication Engg,Government Home University : Sant Gadge Baba Amravati University,Other Than Home University Seats Allotted to Other Than Home University Candidates,I,LOBCO,52078,81.9801476
138,9,01012,"Government College of Engineering,Yavatmal",0101237210,Electronics and Telecommunication Engg,Government Home University : Sant Gadge Baba Amravati University,Other Than Home University Seats Allotted to Other Than Home University Candidates,VII,LSTO,54609,81.0485225
139,9,01012,"Government College of Engineering,Yavatmal",0101237210,Electronics and Telecommunication Engg,Government Home University : Sant Gadge Baba Amravati University,State Level,I,TFWS,60809,78.9120215
140,9,01012,"Government College of Engineering,Yavatmal",0101237210,Electronics and Telecommunication Engg,Government Home University : Sant Gadge Baba Amravati University,State Level,I,EWS,132772,43.1231034
141,9,01012,"Government College of Engineering,Yavatmal",0101237210,Electronics and Telecommunication Engg,Government Home University : Sant Gadge Baba Amravati University,State Level,I-NON DEFENCE,DEFOPENS,44156,84.8307457
142,9,01012,"Government College of Engineering,Yavatmal",0101237210,Electronics and Telecommunication Engg,Government Home University : Sant Gadge Baba Amravati University,State Level,VII,ORPHAN,59685,79.1872032
143,10,01012,"Government College of Engineering,Yavatmal",0101261210,Mechanical Engineering,Government Home University : Sant Gadge Baba Amravati University,Home University Seats Allotted to Home University Candidates,I,GOPENH,109010,57.1959853
144,10,01012,"Government College of Engineering,Yavatmal",0101261210,Mechanical Engineering,Government Home University : Sant Gadge Baba Amravati University,Home University Seats Allotted to Home University Candidates,I,GSCH,130589,44.4778985
145,10,01012,"Government College of Engineering,Yavatmal",0101261210,Mechanical Engineering,Government Home University : Sant Gadge Baba Amravati University,Home University Seats Allotted to Home University Candidates,I,GVJH,134246,42.2200941
146,10,01012,"Government College of Engineering,Yavatmal",0101261210,Mechanical Engineering,Government Home University : Sant Gadge Baba Amravati University,Home University Seats Allotted to Home University Candidates,I,GNT3H,155891,25.6482713
147,10,01012,"Government College of Engineering,Yavatmal",0101261210,Mechanical Engineering,Government Home University : Sant Gadge Baba Amravati University,Home University Seats Allotted to Home University Candidates,I,GOBCH,116789,52.9935209
148,10,01012,"Government College of Engineering,Yavatmal",0101261210,Mechanical Engineering,Government Home University : Sant Gadge Baba Amravati University,Home University Seats Allotted to Home University Candidates,I,LOPENH,86644,68.0717863
149,10,01012,"Government College of Engineering,Yavatmal",0101261210,Mechanical Engineering,Government Home University : Sant Gadge Baba Amravati University,Home University Seats Allotted to Home University Candidates,I,LOBCH,125058,47.9842799
150,10,01012,"Government College of Engineering,Yavatmal",0101261210,Mechanical Engineering,Government Home University : Sant Gadge Baba Amravati University,Home University Seats Allotted to Home University Candidates,I-NON PWD,PWDOBCH,114369,54.0859766
151,10,01012,"Government College of Engineering,Yavatmal",0101261210,Mechanical Engineering,Government Home University : Sant Gadge Baba Amravati University,Home University Seats Allotted to Other Than Home University Candidates,I,GSEBCH,70046,75.1972801
152,10,01012,"Government College of Engineering,Yavatmal",0101261210,Mechanical Engineering,Government Home University : Sant Gadge Baba Amravati University,Other Than Home University Seats Allotted to Other Than Home University Candidates,I,GOPENO,92373,65.4406319
153,10,01012,"Government College of Engineering,Yavatmal",0101261210,Mechanical Engineering,Government Home University : Sant Gadge Baba Amravati University,Other Than Home University Seats Allotted to Other Than Home University Candidates,I,GSCO,109477,57.1543272
154,10,01012,"Government College of Engineering,Yavatmal",0101261210,Mechanical Engineering,Government Home University : Sant Gadge Baba Amravati University,Other Than Home University Seats Allotted to Other Than Home University Candidates,I,GSTO,101849,60.5467050
155,10,01012,"Government College of Engineering,Yavatmal",0101261210,Mechanical Engineering,Government Home University : Sant Gadge Baba Amravati University,Other Than Home University Seats Allotted to Other Than Home University Candidates,I,GVJO,153158,27.9969458
156,10,01012,"Government College of Engineering,Yavatmal",0101261210,Mechanical Engineering,Government Home University : Sant Gadge Baba Amravati University,Other Than Home University Seats Allotted to Other Than Home University Candidates,I,GOBCO,103098,60.2921536
157,10,01012,"Government College of Engineering,Yavatmal",0101261210,Mechanical Engineering,Government Home University : Sant Gadge Baba Amravati University,Other Than Home University Seats Allotted to Other Than Home University Candidates,I,LOPENO,90881,65.9366282
158,10,01012,"Government College of Engineering,Yavatmal",0101261210,Mechanical Engineering,Government Home University : Sant Gadge Baba Amravati University,Other Than Home University Seats Allotted to Other Than Home University Candidates,VII,GSTO,106387,58.1588042
159,10,01012,"Government College of Engineering,Yavatmal",0101261210,Mechanical Engineering,Government Home University : Sant Gadge Baba Amravati University,Other Than Home University Seats Allotted to Other Than Home University Candidates,VII,GSEBCO,98583,62.7958080
160,10,01012,"Government College of Engineering,Yavatmal",0101261210,Mechanical Engineering,Government Home University : Sant Gadge Baba Amravati University,State Level,I,TFWS,97424,63.0701676
161,10,01012,"Government College of Engineering,Yavatmal",0101261210,Mechanical Engineering,Government Home University : Sant Gadge Baba Amravati University,State Level,I,EWS,161074,21.3531102
